gameId|platformId|lastUpdate
1834|12|E'2020-11-29 19:18:57'
1834|7|E'2020-11-29 19:18:57'
1834|3|E'2020-11-29 19:18:57'
1835|7|E'2020-11-29 19:18:57'
1835|8|E'2020-11-29 19:18:57'
1836|7|E'2020-11-29 19:18:57'
1837|5|E'2020-11-29 19:18:57'
1837|7|E'2020-11-29 19:18:57'
1837|6|E'2020-11-29 19:18:57'
1838|7|E'2020-11-29 19:18:57'
1838|3|E'2020-11-29 19:18:57'
1839|7|E'2020-11-29 19:18:57'
1840|5|E'2020-11-29 19:18:57'
1840|7|E'2020-11-29 19:18:57'
1840|3|E'2020-11-29 19:18:57'
1840|6|E'2020-11-29 19:18:57'
1841|5|E'2020-11-29 19:18:57'
1841|7|E'2020-11-29 19:18:57'
1841|6|E'2020-11-29 19:18:57'
1842|7|E'2020-11-29 19:18:57'
1843|7|E'2020-11-29 19:18:57'
1844|7|E'2020-11-29 19:18:57'
1844|3|E'2020-11-29 19:18:57'
1845|7|E'2020-11-29 19:18:57'
1846|4|E'2020-11-29 19:18:57'
1846|5|E'2020-11-29 19:18:57'
1846|7|E'2020-11-29 19:18:57'
1846|3|E'2020-11-29 19:18:57'
1846|6|E'2020-11-29 19:18:57'
1847|7|E'2020-11-29 19:18:57'
1848|5|E'2020-11-29 19:18:57'
1848|7|E'2020-11-29 19:18:57'
1848|3|E'2020-11-29 19:18:57'
1848|6|E'2020-11-29 19:18:57'
1849|7|E'2020-11-29 19:18:57'
1850|7|E'2020-11-29 19:18:57'
1851|5|E'2020-11-29 19:18:57'
1851|7|E'2020-11-29 19:18:57'
1851|3|E'2020-11-29 19:18:57'
1852|5|E'2020-11-29 19:18:57'
1852|7|E'2020-11-29 19:18:57'
1852|3|E'2020-11-29 19:18:57'
1852|6|E'2020-11-29 19:18:57'
1853|7|E'2020-11-29 19:18:57'
1854|7|E'2020-11-29 19:18:57'
1854|3|E'2020-11-29 19:18:57'
1855|7|E'2020-11-29 19:18:57'
1856|11|E'2020-11-29 19:18:57'
1856|5|E'2020-11-29 19:18:57'
1856|7|E'2020-11-29 19:18:57'
